tanggal,hari,rendang,gulai_ayam,sayur_asam,sambal_ijo,telur_dadar,total_penjualan
2023-03-01,Rabu,20,15,10,5,0,550000
2023-03-02,Kamis,15,10,5,0,0,480000
2023-03-03,Jumat,35,30,20,15,10,820000
2023-03-04,Sabtu,40,35,25,20,15,1050000
2023-03-05,Minggu,50,45,35,25,20,1350000
2023-03-06,Senin,10,5,0,0,0,350000
2023-03-07,Selasa,15,10,5,0,0,400000
2023-03-08,Rabu,20,15,10,5,0,480000
2023-03-09,Kamis,20,15,10,5,0,460000
2023-03-10,Jumat,40,35,25,20,15,850000
2023-03-11,Sabtu,45,40,30,25,20,950000
2023-03-12,Minggu,55,50,40,35,30,1250000
2023-03-13,Senin,15,10,5,0,0,420000
2023-03-14,Selasa,20,15,10,5,0,470000
2023-03-15,Rabu,25,20,15,10,5,600000
2023-03-16,Kamis,25,20,15,10,5,580000
2023-03-17,Jumat,45,40,30,25,20,950000
2023-03-18,Sabtu,50,45,35,30,25,1150000
2023-03-19,Minggu,60,55,45,35,30,1450000
2023-03-20,Senin,20,15,10,5,0,450000
2023-03-21,Selasa,25,20,15,10,5,520000
2023-03-22,Rabu,30,25,20,15,10,650000
2023-03-23,Kamis,30,25,20,15,10,620000
2023-03-24,Jumat,50,45,35,30,25,1050000
2023-03-25,Sabtu,55,50,40,35,30,1250000
2023-03-26,Minggu,65,60,50,40,35,1550000
2023-03-27,Senin,25,20,15,10,5,500000
2023-03-28,Selasa,30,25,20,15,10,550000
2023-03-29,Rabu,35,30,25,20,15,680000
2023-03-30,Kamis,35,30,25,20,15,700000
2023-03-31,Jumat,55,50,40,35,30,1150000
2023-04-01,Sabtu,30,25,10,5,0,1300000
2023-04-02,Minggu,40,35,20,15,10,1650000
2023-04-03,Senin,10,5,0,0,0,360000
2023-04-04,Selasa,15,10,5,0,0,400000
2023-04-05,Rabu,20,15,10,5,0,550000
2023-04-06,Kamis,25,20,15,10,5,600000
2023-04-07,Jumat,35,30,20,15,10,820000
2023-04-08,Sabtu,40,35,25,20,15,1050000
2023-04-09,Minggu,50,45,35,25,20,1350000
2023-04-10,Senin,20,15,10,5,0,450000
2023-04-11,Selasa,25,20,15,10,5,520000
2023-04-12,Rabu,30,25,20,15,10,650000
2023-04-13,Kamis,35,30,25,20,15,720000
2023-04-14,Jumat,40,35,25,20,15,850000
2023-04-15,Sabtu,45,40,30,25,20,950000
2023-04-16,Minggu,55,50,40,35,30,1250000
2023-04-17,Senin,25,20,15,10,5,500000
2023-04-18,Selasa,30,25,20,15,10,550000
2023-04-19,Rabu,35,30,25,20,15,680000
2023-04-20,Kamis,40,35,25,20,15,720000
2023-04-21,Jumat,45,40,30,25,20,950000
2023-04-22,Sabtu,50,45,35,30,25,1150000
2023-04-23,Minggu,60,55,45,35,30,1450000
2023-04-24,Senin,30,25,20,15,10,550000
2023-04-25,Selasa,35,30,25,20,15,600000
2023-04-26,Rabu,40,35,30,25,20,750000
2023-04-27,Kamis,45,40,35,30,25,820000
2023-04-28,Jumat,50,45,35,30,25,1050000
2023-04-29,Sabtu,55,50,40,35,30,1250000
2023-04-30,Minggu,65,60,50,40,35,1550000
